timestamp,src_ip,dst_ip,dst_port,protocol,action,bytes
2026-04-02 00:10:02,198.51.100.23,10.0.2.15,22,TCP,BLOCK,60
2026-04-02 00:10:05,198.51.100.23,10.0.2.15,80,TCP,BLOCK,60
2026-04-02 00:10:09,198.51.100.23,10.0.2.15,443,TCP,BLOCK,60
2026-04-02 00:10:14,198.51.100.23,10.0.2.15,3306,TCP,BLOCK,60
2026-04-02 00:10:20,198.51.100.23,10.0.2.15,3389,TCP,ALLOW,120
2026-04-02 00:20:11,10.0.2.15,203.0.113.50,443,TCP,ALLOW,2048
2026-04-02 00:30:14,10.0.2.15,203.0.113.50,443,TCP,ALLOW,1984
2026-04-02 00:40:09,10.0.2.15,203.0.113.50,443,TCP,ALLOW,2101
2026-04-02 00:50:17,10.0.2.15,203.0.113.50,443,TCP,ALLOW,1975
2026-04-02 01:00:12,10.0.2.15,203.0.113.50,443,TCP,ALLOW,2050
2026-04-02 09:05:22,10.0.5.42,198.51.100.90,443,TCP,ALLOW,845
2026-04-02 11:12:40,10.0.5.10,172.16.0.9,443,TCP,ALLOW,530
